,adress_velo,lat_velo,lng_velo,bike_stands,status,available_bike_stands,available_bikes,availability,id_velo,type
129,Rue du Bourbonnais,45.7742408280787800,4.8056660114147770,27,OPEN,13,13,Vert,9002,station_velo
130,"171, Rue Léon Blum",45.7605040003338900,4.9059509747414040,16,OPEN,16,0,Orange,10116,station_velo
131,"Face 2, Rue du Professeur Emile Bouvier",45.7794643121307400,4.8915809514291190,16,OPEN,0,16,Bleu,10039,station_velo
132,"49, Boulevard des Belges",45.7733270382747500,4.8519894989151780,15,OPEN,4,11,Vert,6006,station_velo
133,Avenue Albert Einstein,45.7822165054530900,4.8769550250054060,55,OPEN,51,1,Vert,10002,station_velo
134,"2, Rue Georges Meliès",45.7766967138823300,4.8595230519892390,24,OPEN,24,0,Orange,10054,station_velo
135,"22, Rue Louis Paufique",45.7593809563465260,4.8353992022816500,28,OPEN,20,7,Vert,2026,station_velo
136,Place Saint-Luc,45.7495654052048600,4.8008960240920420,15,OPEN,15,0,Orange,22001,station_velo
137,"1, Rue Roquette",45.7756749996432200,4.8053036651209080,16,OPEN,0,16,Bleu,9003,station_velo
138,"4, Rue Professeur Paul Sisley",45.7528275113150600,4.8687687708041860,17,OPEN,0,17,Bleu,3100,station_velo
139,"3, Avenue Aristide Briand",45.7668331420973300,4.8801151194357875,26,OPEN,22,3,Vert,10027,station_velo
140,"29, Rue de la Bourse",45.7658113822040560,4.8368957414205630,26,OPEN,20,4,Vert,1012,station_velo
141,"123, Boulevard Stalingrad",45.7743568286995240,4.8591545857608360,21,OPEN,20,1,Vert,10036,station_velo
142,"Face 26, Quai Jules courmont",45.7574175254861500,4.8370623720287080,50,OPEN,42,8,Vert,2018,station_velo
143,"20, Rue de la Poulaillerie",45.7640723503116150,4.8355253578885975,32,OPEN,17,14,Vert,2030,station_velo
144,"313, Route de Vienne",45.7241420539186200,4.8541764434151110,20,OPEN,8,12,Vert,8051,station_velo
145,"Face au 40, Avenue Jean Jaurès",45.7123448014944400,4.8552741231339970,27,OPEN,0,27,Bleu,17001,station_velo
146,"58, Rue de Sèze",45.7684041683728250,4.8494967237845850,23,OPEN,0,22,Bleu,6011,station_velo
147,"Face 40, Quai Chauveau",45.7697822121574100,4.8126762195854050,19,OPEN,17,0,Orange,9011,station_velo
148,Rue Stéphane Déchant,45.7273693332767340,4.8146354766198370,24,OPEN,16,8,Vert,21001,station_velo
149,"51t, Rue de Saint-Cyr",45.7828282303757100,4.8072963588022790,30,OPEN,25,4,Vert,9015,station_velo
150,Place Puvis de Chavannes,45.7717570855734000,4.8446036357483555,10,OPEN,1,8,Vert,6012,station_velo
151,"Face 74, Boulevard Jean XXIII",45.7364796056891400,4.8698054320071750,20,OPEN,7,13,Vert,8009,station_velo
152,"25, Rue Maryse Bastié",45.7403259296418700,4.8741942706838780,16,OPEN,16,0,Orange,8015,station_velo
153,"221, Avenue Lacassagne",45.7453008083141900,4.8890420355008900,24,OPEN,12,12,Vert,3089,station_velo
154,"43, Rue Vaubecour",45.7518693364220250,4.8247555892183200,20,OPEN,1,19,Vert,2042,station_velo
155,Boulevard Irène Joliot Curie,45.7154529520501360,4.8782350614798360,25,OPEN,13,12,Vert,16003,station_velo
156,Place du Port Mouton,45.7738201179439200,4.8095603029641690,18,OPEN,9,9,Vert,9032,station_velo
157,"8, Rue du Président Edouard Herriot",45.7670410048109700,4.8342839059717140,11,OPEN,11,0,Orange,1021,station_velo
158,"128, Rue Paul Bert",45.7572612599251600,4.8552008564228180,28,OPEN,24,4,Vert,3084,station_velo
159,Quai Romain Rolland angle Quai de Bondy,45.7646815056712300,4.8289833265225160,16,OPEN,3,13,Vert,5009,station_velo
160,"52, Rue du Pensionnat",45.7547065642496240,4.8534044474099280,30,OPEN,24,6,Vert,3034,station_velo
161,"16, Rue Guillaume Paradin",45.7381400560294900,4.8868803087115330,16,OPEN,16,0,Orange,8003,station_velo
162,"65, Rue Moncey",45.7588152050466300,4.8464532259485145,16,OPEN,12,4,Vert,3088,station_velo
163,"39, Boulevard Ambroise Paré",45.7362995122816000,4.8836816883227290,24,OPEN,11,13,Vert,8040,station_velo
164,"117, Boulevard Yves Farge",45.7356738897812000,4.8277191559612230,20,OPEN,1,19,Vert,7007,station_velo
165,"171, Rrue Léon Blum",45.7645613324081800,4.8923593859032770,22,OPEN,8,14,Vert,10117,station_velo
166,"30, Quai Paul Sédaillan",45.7924777385859400,4.8205782575315625,18,OPEN,17,1,Vert,9041,station_velo
167,"59, Boulevard Pinel",45.7481832938431700,4.8969570575460010,20,OPEN,19,1,Vert,3091,station_velo
168,"45, Rrue Pierre Baratin",45.7631587956905860,4.9004795303651320,16,OPEN,15,1,Vert,10035,station_velo
169,Place Saint-Paul,45.7662717372985600,4.8274321226910390,23,OPEN,9,14,Vert,5005,station_velo
170,"17, rue d'Austerlitz",45.7755023590485800,4.8350625452914060,18,OPEN,18,0,Orange,4041,station_velo
171,"80, Quai Charles de Gaulle",45.7847015036764200,4.8519081064540370,32,OPEN,32,0,Orange,6043,station_velo
172,"126, Rue Pierre Corneille",45.7599809590692000,4.8444896754890480,13,OPEN,11,2,Vert,3031,station_velo
173,Rue de la Technologie,45.7856471441405260,4.8823577998970050,30,OPEN,24,4,Vert,10001,station_velo
174,Place Rouget de l'Isle,45.7539631929670600,4.8673532946259150,16,OPEN,1,14,Vert,3043,station_velo
175,Place Jules Ferry,45.7669095802662650,4.8589921673125620,16,OPEN,15,1,Vert,6001,station_velo
176,Avenue du Rhône,45.7170299434914200,4.8141359805783805,40,OPEN,7,32,Vert,20001,station_velo
177,Avenue de Bel Air,45.7579143507054340,4.9107987932571575,20,OPEN,19,0,Orange,10114,station_velo
178,"60, Avenue Rockefeller",45.7404860034671760,4.8880825075933510,20,OPEN,18,2,Vert,3071,station_velo
179,Quai Romain Rolland,45.7620370806926700,4.8288896824580405,17,OPEN,5,12,Vert,5006,station_velo
180,Place Chevalier de Saint-Georges,45.7361815820860700,4.8153350287499040,20,OPEN,19,0,Orange,2019,station_velo
181,"2, Place Edouard Commette",45.7604837438977800,4.8265650503972600,39,OPEN,3,33,Vert,5004,station_velo
182,"2, Rue Greuze",45.7738494367907200,4.8938448095574300,18,OPEN,1,17,Vert,10030,station_velo
183,"92, Rue Voyant",45.7671914150099100,4.9005990995120360,22,OPEN,4,18,Vert,10118,station_velo
184,"47, Rue Tête d'Or",45.7696601321996100,4.8523727828559995,27,OPEN,11,16,Vert,6007,station_velo
185,"Face 251, Rue Marcel Mérieux",45.7290680809079800,4.8301517682916960,16,OPEN,16,0,Orange,7012,station_velo
186,"6, Place Edgar Quinet",45.7657655924629200,4.8447318928504440,20,OPEN,7,12,Vert,6005,station_velo
187,Avenue Gaston Berger,45.7809847816336500,4.8712077146085780,30,OPEN,30,0,Orange,10102,station_velo
188,18 route de Genève,45.8050913402650000,4.8847438731991380,12,OPEN,6,6,Vert,30001,station_velo
189,2 Rue du Moulin à Vent,45.7296761340645800,4.8541819412364090,22,OPEN,9,13,Vert,8020,station_velo
190,Bd 11 nov 1918,45.7794441107438300,4.8740901733285210,34,OPEN,31,2,Vert,10101,station_velo
191,"Face au 27, Route de Lyon",45.8708762461699200,4.8395985373186360,15,OPEN,1,13,Vert,34002,station_velo
192,Rue Maurice Audin,45.7781718162778500,4.9205167112977890,30,OPEN,15,15,Vert,12004,station_velo
193,Rue Joliot Curie,45.7546405115265300,4.7881488839855880,20,OPEN,19,1,Vert,5031,station_velo
194,Place Stalingrad,45.7495788810534300,4.8529655050157780,13,OPEN,0,13,Bleu,7038,station_velo
195,"15, Quai Rambaud",45.7459165775636100,4.8171736085201430,30,OPEN,21,8,Vert,2021,station_velo
196,"25, Rue Chazière",45.7754224668984700,4.8178899295525035,20,OPEN,6,14,Vert,4025,station_velo
197,"2, Rue Jean Renoir",45.7529160218789240,4.8638526893825510,15,OPEN,3,12,Vert,3067,station_velo
198,"30, Rue Renan",45.7467662258473740,4.8420506993495060,16,OPEN,0,16,Bleu,7055,station_velo
199,"2, Avenue des Arts",45.7834997795765100,4.8712494989676305,30,OPEN,28,1,Vert,10084,station_velo
200,"41, Quai Rambaud",45.7396275873331000,4.8150259306438120,26,OPEN,25,0,Orange,2009,station_velo
201,Place Tolozan,45.7696005888254260,4.8376084367310750,36,OPEN,1,35,Vert,1022,station_velo
202,"Face 9, Rue Pierre Verger",45.7316833148739000,4.8741275326105120,17,OPEN,3,14,Vert,8060,station_velo
203,"13, Rue de Verdun",45.7840513436847400,4.8970859241187770,21,OPEN,15,5,Vert,10122,station_velo
204,Place Ennemond Romand,45.7257547271142850,4.8583509977388920,20,OPEN,9,11,Vert,16001,station_velo
205,"6, Rue de la Platière",45.7659547300349500,4.8311781246444845,17,OPEN,2,15,Vert,1016,station_velo
206,", Rrue Cavenne",45.7557687140506700,4.8407327899664360,22,OPEN,17,5,Vert,7056,station_velo
207,Allée Achille Lignon,45.7845729057677800,4.8597583624124910,22,OPEN,22,0,Orange,6041,station_velo
208,"174, Cours Emile Zola",45.7692274364669060,4.8804622522382600,16,OPEN,5,11,Vert,10011,station_velo
209,Place Steven Spielberg,45.7059819724876400,4.9009848506091010,20,OPEN,17,3,Vert,15002,station_velo
210,Boulevard du 11 Novembre 1918,45.7796937078335100,4.8600085938999790,35,OPEN,34,1,Vert,10005,station_velo
211,"38, Cours d'Herbouville",45.7787675773143300,4.8410695622109970,30,OPEN,1,27,Vert,4012,station_velo
212,"1, Avenue du Docteur Georges Lévy",45.7193988058185000,4.8548015762351050,18,OPEN,6,10,Vert,16002,station_velo
213,"Face 150, Cours Gambetta",45.7502533119060360,4.8579250300630620,22,OPEN,17,4,Vert,3009,station_velo
214,"22, Rue de la Marne",45.7429248383540640,4.9086213384119860,13,OPEN,9,4,Vert,14001,station_velo
215,"4, Boulevard Eugène Deruelle",45.7627511569952000,4.8524277723450730,20,OPEN,19,1,Vert,3087,station_velo
216,"Face 14, Rue du 24 Mars 1852",45.7797819839255400,4.8046653309593905,22,OPEN,20,2,Vert,9004,station_velo
217,Place Ambroise Courtois,45.7452926164535000,4.8716789632578010,20,OPEN,15,5,Vert,8002,station_velo
218,Avenue Piaton,45.7742151784181300,4.8675042131350820,20,OPEN,0,19,Bleu,10007,station_velo
219,"63, Rue de Trion",45.7573003219205000,4.8150900113095240,23,OPEN,21,2,Vert,5001,station_velo
220,"127, Quai Fulchiron",45.7578416796382400,4.8261054516922880,20,OPEN,8,11,Vert,5040,station_velo
221,"16, Rueue Santos Dumont",45.7444461798116300,4.8608871751443760,17,OPEN,3,14,Vert,8025,station_velo
222,"6, Rue Gorge de Loup",45.7701340720176050,4.8051580030149460,16,OPEN,1,15,Vert,9049,station_velo
223,"5, Rue Dunoir",45.7609213906398600,4.8451935986950010,37,OPEN,30,7,Vert,3017,station_velo
224,"Face 31, Rue Albert Chalinel",45.8011198081158200,4.8252725616689830,15,OPEN,5,10,Vert,9009,station_velo
225,Place GrandClément,45.7597183207295700,4.8899469363178760,19,OPEN,0,19,Bleu,10021,station_velo
226,"Face 41, Route de Vienne",45.7425795049166550,4.8505637556621760,15,OPEN,0,15,Bleu,7023,station_velo
227,"26, Rue de la Viabert",45.7663703493176260,4.8650841638710620,16,OPEN,5,11,Vert,6044,station_velo
228,Cours Albert Thomas,45.7458332337286600,4.8706387106502870,18,OPEN,17,1,Vert,3008,station_velo
